abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Emigrants_males,Emigrants_females,Emigrants_males_HS,Emigrants_females_HS,Emigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Emigrants_014_female,Emigrants_014_male
IDN,18.07,Indonesia,2.31,"$1,119,190,780,753 ",106.40%,36.30%,21.1,71.5,177.0,$0.48 ,48.30%,0.43,"270,203,917",4.69%,Indonesia,2020.0,EAP-OTH,IDN,2254077.0,1896637.0,347032.0,347293.0,694325.0,7785797.0,7670346.0,15380064.0,202582512.0,187202448.0,93508200.0,93618168.0,34627215.0,36313890.0,138973.0,290210.0
IRN,18.78,Iran,2.14,"$445,345,282,123 ",110.70%,68.10%,12.4,76.5,16.0,$1.58 ,39.70%,1.58,"82,913,906",11.38%,"Iran, Islamic Rep.",2020.0,MENA-OTH,IRN,675843.0,597314.0,382488.0,325677.0,708165.0,7222072.0,6898417.0,14085528.0,63209152.0,49123624.0,24568156.0,24520508.0,10117975.0,10665826.0,26891.0,35000.0
IRQ,29.08,Iraq,3.67,"$234,094,042,939 ",108.70%,16.20%,22.5,70.5,79.0,$1.24 ,76.50%,0.71,"39,309,783",12.82%,Iraq,2020.0,MENA-OTH,IRQ,884391.0,848328.0,272989.0,190057.0,463046.0,1096974.0,577123.0,1682566.0,25053092.0,23370526.0,11914721.0,11464274.0,7372881.0,7796530.0,117735.0,119648.0
IRL,12.5,Republic of Ireland,1.75,"$388,698,711,348 ",100.90%,77.80%,3.1,82.3,5.0,$10.79 ,15.20%,3.31,"5,007,069",4.93%,Ireland,2020.0,ECA-HIC,IRL,322299.0,351797.0,142965.0,176687.0,319652.0,461135.0,603282.0,1061598.0,3947046.0,2885449.0,1401245.0,1481384.0,506029.0,532599.0,20431.0,19617.0
ISR,20.8,Israel,3.09,"$395,098,666,122 ",104.90%,63.40%,3.0,82.8,3.0,$7.58 ,24.40%,4.62,"9,053,300",3.86%,Israel,2020.0,MENA-OTH,ISR,180884.0,151294.0,93554.0,72842.0,166396.0,773532.0,901637.0,1673909.0,6650678.0,4976769.0,2478571.0,2496939.0,1248266.0,1316156.0,22639.0,22525.0
ITA,7.3,Italy,1.29,"$2,001,244,392,042 ",101.90%,61.90%,2.6,82.9,2.0,,22.80%,3.98,"60,297,396",9.89%,Italy,2020.0,ECA-HIC,ITA,1576678.0,1323578.0,445939.0,353176.0,799115.0,2276296.0,2982749.0,5248389.0,51728648.0,46480260.0,23775560.0,22694044.0,3746365.0,3974516.0,57357.0,80089.0
JAM,16.1,Jamaica,1.98,"$16,458,071,068 ",91.00%,27.10%,12.4,74.4,80.0,$1.33 ,23.70%,1.31,"2,948,279",8.00%,Jamaica,2020.0,LAC,JAM,459473.0,616593.0,187152.0,318219.0,505371.0,86170.0,150351.0,235913.0,2269490.0,2033577.0,1001937.0,1031032.0,339232.0,352439.0,20450.0,19574.0
JPN,7.4,Japan,1.42,"$5,081,769,542,380 ",98.80%,63.20%,1.8,84.2,5.0,$6.77 ,13.10%,2.41,"126,226,568",2.29%,Japan,2020.0,EAP-HIC,JPN,382544.0,557436.0,243023.0,350542.0,593565.0,17972544.0,10428179.0,28716948.0,110543328.0,81826384.0,46537732.0,35604872.0,7647241.0,8070432.0,50608.0,50067.0
JOR,21.98,Jordan,2.76,"$43,743,661,972 ",81.50%,34.40%,13.9,74.4,46.0,$1.49 ,25.10%,2.32,"10,101,694",14.72%,Jordan,2020.0,MENA-OTH,JOR,450743.0,262093.0,140155.0,79090.0,219245.0,179871.0,67547.0,237867.0,6851018.0,6613151.0,3325070.0,3278530.0,1644544.0,1707578.0,40887.0,56363.0
KAZ,21.77,Kazakhstan,2.84,"$180,161,741,180 ",104.40%,61.70%,8.8,73.2,10.0,$0.41 ,38.80%,3.25,"18,513,930",4.59%,Kazakhstan,2020.0,ECA-OTH,KAZ,1816916.0,2119164.0,436532.0,601574.0,1038106.0,730206.0,1076827.0,1796206.0,13289482.0,11493276.0,5923740.0,5558709.0,2652372.0,2813812.0,40353.0,38509.0
KEN,28.75,Kenya,3.49,"$95,503,088,538 ",103.20%,11.50%,30.6,66.3,342.0,$0.25 ,33.40%,0.16,"52,573,973",2.64%,Kenya,2020.0,SSA,KEN,228091.0,258416.0,115654.0,120702.0,236356.0,860300.0,612242.0,1474065.0,33021168.0,31547104.0,16152318.0,15396307.0,10288213.0,10461920.0,29947.0,26920.0
KIR,27.89,Kiribati,3.57,"$194,647,202 ",101.30%,,41.2,68.1,92.0,,0.20%,0.2,"117,606",,Kiribati,2020.0,EAP-OTH,KIR,2398.0,2503.0,603.0,706.0,1309.0,1043.0,1178.0,2220.0,76545.0,74325.0,38703.0,35621.0,20821.0,22080.0,280.0,249.0
KWT,13.94,Kuwait,2.08,"$134,761,198,946 ",92.40%,54.40%,6.7,75.4,12.0,$0.95 ,14.40%,2.58,"4,207,083",2.18%,Kuwait,2020.0,GCC,KWT,119202.0,71656.0,65490.0,35496.0,100986.0,127509.0,136763.0,263424.0,3354007.0,3090583.0,1094563.0,1995172.0,424791.0,491765.0,9435.0,14934.0
KGZ,27.1,Kyrgyzstan,3.3,"$8,454,619,608 ",107.60%,41.30%,16.9,71.4,60.0,$0.09 ,48.20%,1.88,"6,456,900",6.33%,Kyrgyz Republic,2020.0,ECA-OTH,KGZ,353039.0,386960.0,89890.0,119723.0,209613.0,206757.0,264131.0,469576.0,4431636.0,3962060.0,2012661.0,1948088.0,1048282.0,1099982.0,9715.0,9042.0
LAO,23.55,Laos,2.67,"$18,173,839,128 ",102.40%,15.00%,37.6,67.6,185.0,$0.83 ,45.40%,0.37,"7,169,455",0.63%,Lao PDR,2020.0,EAP-OTH,LAO,460090.0,582317.0,48439.0,40385.0,88824.0,210395.0,124843.0,336930.0,4951215.0,4614285.0,2358111.0,2257867.0,1140808.0,1183533.0,119874.0,90961.0
