abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Immigrants_males,Immigrants_females,Immigrants_males_HS,Immigrants_females_HS,Immigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Immigrants_014_female,Immigrants_014_male,Immigrants_total
AFG,32.49,Afghanistan,4.47,19101353833.0,1.04,0.09699999999999999,47.9,64.5,638.0,0.43,78.4,0.28,38041754.0,11.12,Afghanistan,2020.0,SA,AFG,60837.0,63844.0,914.0,600.0,1514.0,913010.0,195448.0,1124901.0,22647496.0,21522594.0,10809482.0,10729555.0,7947146.0,8333700.0,11065.0,8352.0,124681.0
ALB,11.78,Albania,1.62,15278077447.0,1.07,0.55,7.8,78.5,15.0,1.12,56.9,1.2,2854191.0,12.33,Albania,2020.0,ECA-OTH,ALB,20677.0,19956.0,4222.0,2486.0,6708.0,125250.0,92899.0,218361.0,2348722.0,2130361.0,1069069.0,1061504.0,231501.0,257626.0,3946.0,4231.0,40633.0
DZA,24.28,Algeria,3.02,169988236398.0,1.099,0.514,20.1,76.7,112.0,0.95,28.1,1.72,43053054.0,11.7,Algeria,2020.0,MENA-OTH,DZA,115269.0,102860.0,39009.0,29455.0,68464.0,1245680.0,1494801.0,2734122.0,30352152.0,27618030.0,13593534.0,14018136.0,6608900.0,6889992.0,15376.0,16873.0,218129.0
AND,7.2,Andorra,1.27,3154057987.0,1.064,,2.7,,,6.63,36.4,3.33,77142.0,,Andorra,2020.0,ECA-HIC,AND,21099.0,19985.0,7039.0,6392.0,13431.0,,,,,,,,,,2256.0,2237.0,41084.0
AGO,40.73,Angola,5.52,94635415870.0,1.135,0.09300000000000001,51.6,60.8,241.0,0.71,33.4,0.21,31825295.0,6.89,Angola,2020.0,SSA,AGO,315000.0,313024.0,18107.0,10323.0,28430.0,47667.0,34679.0,82270.0,17617840.0,17535570.0,8980643.0,8554850.0,7590076.0,7658353.0,12009.0,16401.0,628024.0
ATG,15.33,Antigua and Barbuda,1.99,1727759259.0,1.05,0.248,5.0,76.9,42.0,3.04,24.3,2.76,97118.0,,Antigua and Barbuda,2020.0,LAC,ATG,11831.0,14503.0,4068.0,4993.0,9061.0,5122.0,7891.0,13013.0,76531.0,63518.0,32214.0,31304.0,10554.0,10843.0,1763.0,1293.0,26334.0
ARG,17.02,Argentina,2.26,449663446954.0,1.097,0.9,8.8,76.5,39.0,3.35,17.6,3.96,44938712.0,9.79,Argentina,2020.0,LAC,ARG,963712.0,1138980.0,86296.0,91760.0,178056.0,237143.0,830439.0,1003291.0,34288808.0,33285518.0,16967224.0,16254003.0,5441658.0,5646296.0,80215.0,98821.0,2102692.0
ARM,13.99,Armenia,1.76,13672802158.0,0.927,0.546,11.0,74.9,26.0,0.66,81.6,4.4,2957731.0,16.99,Armenia,2020.0,ECA-OTH,ARM,71341.0,102947.0,17652.0,24246.0,41898.0,251687.0,325272.0,578575.0,2345922.0,1767347.0,954318.0,814646.0,289898.0,327414.0,9317.0,6744.0,174288.0
AUS,12.6,Australia,1.74,1392680589329.0,1.003,1.131,3.1,82.7,6.0,13.59,19.6,3.68,25766605.0,5.27,Australia,2020.0,EAP-HIC,AUS,3534152.0,3621613.0,1606949.0,1784018.0,3390967.0,2302878.0,2709742.0,5025884.0,20736410.0,15710526.0,7775254.0,7948536.0,2413342.0,2543515.0,162325.0,226639.0,7155765.0
AUT,9.7,Austria,1.47,446314739528.0,1.031,0.851,2.9,81.6,5.0,,17.9,5.17,8877067.0,4.67,Austria,2020.0,ECA-HIC,AUT,764813.0,812123.0,176857.0,206302.0,383159.0,701627.0,651745.0,1349522.0,7631748.0,6282226.0,3246952.0,3031424.0,622613.0,662503.0,45325.0,51898.0,1576936.0
