,iso3,Birth Rate,Infant mortality,Physicians per thousand,Life expectancy,OOP health expenditure,GDP,Unemployment rate,Minimum wage,Primary education enrollment,Tertiary education enrollment,Emigrants_total,Immigrants_total,emig_rate,immig_rate
46,,12.5,3.1,3.31,82.3,15.2,388698711348.0,4.93,10.79,100.9,77.8,5122,532,,
47,,28.64,29.0,0.42,63.4,8.3,12366527719.0,20.27,,124.2,22.9,173591,4883,,
48,,28.64,29.0,0.42,63.4,8.3,12366527719.0,20.27,,124.2,22.9,5122,532,,
49,,,,,,35.6,10220781069.0,,,,,173591,4883,,
50,,,,,,35.6,10220781069.0,,,,,5122,532,,
51,,,,,,,,,,,,173591,4883,,
52,,,,,,,,,,,,5122,532,,
53,CRI,13.97,7.6,2.89,80.1,21.5,61773944174.0,11.85,1.84,113.3,55.2,142194,485402,0.03405596315860748,0.12035426497459412
54,HRV,9.0,4.0,3.0,78.1,15.2,60415553039.0,6.93,2.92,96.5,67.9,944322,524013,0.2144526243209839,0.15148894488811493
55,CUB,10.17,3.7,8.42,78.7,,100023000000.0,1.64,0.05,101.9,41.4,1633364,2493,0.14640206098556519,0.0002617779828142375
56,CYP,10.46,1.9,1.95,80.8,43.9,24564647935.0,7.27,,99.3,75.9,109446,179540,0.09801201522350311,0.17825424671173096
57,CZE,10.7,2.7,4.12,79.0,14.8,246489245495.0,1.93,3.0,100.7,64.1,749379,338806,0.07676701992750168,0.03759351745247841
58,COD,41.18,68.2,0.07,60.4,37.4,47319624204.0,4.24,0.18,108.0,6.6,1531280,842352,0.03057797998189926,0.017351415008306503
59,DNK,10.6,3.6,4.01,81.0,13.7,348078018464.0,4.91,,101.3,80.6,221180,502656,0.04334205389022827,0.1029621958732605
60,DJI,21.47,49.8,0.22,66.6,20.4,3318716359.0,10.3,,75.3,5.3,18060,98193,0.025069093331694603,0.1398065686225891
61,DMA,12.0,32.9,1.08,76.6,28.4,596033333.0,,1.48,114.7,7.2,61523,7592,,
62,DOM,19.51,24.1,1.56,73.9,43.7,88941298258.0,5.84,0.4,105.7,59.9,1461345,575660,0.15658403933048248,0.0731339380145073
63,ECU,19.72,12.2,2.04,76.8,43.7,107435665000.0,3.97,2.46,103.3,44.9,1110420,647582,0.07976751029491425,0.050551723688840866
64,EGY,26.38,18.1,0.45,71.8,62.0,303175127598.0,10.76,,106.3,35.2,3267096,454755,0.04608773812651634,0.006725003942847252
65,SLV,18.25,11.8,1.57,73.1,27.9,27022640000.0,4.11,0.5,94.8,29.4,1536948,37577,0.24402080476284027,0.00789187103509903
66,GNQ,33.24,62.6,0.4,58.4,72.0,11026774945.0,6.43,1.05,61.8,1.9,117441,229230,0.11692454665899277,0.25843989849090576
67,ERI,30.3,31.3,0.06,65.9,52.4,2065001626.0,5.14,,68.4,3.4,661524,11726,,
68,EST,10.9,2.1,4.48,78.2,22.8,31386949981.0,5.11,3.14,97.2,69.6,167591,136993,0.13116297125816345,0.12340155243873596
69,ETH,32.34,39.1,0.08,66.2,37.8,96107662398.0,2.08,,101.0,8.1,879641,912253,0.012574837543070316,0.013207117095589638
70,FJI,21.28,21.6,0.84,67.3,21.4,5535548972.0,4.1,1.28,106.4,16.1,224719,13319,0.26096856594085693,0.02092941850423813
71,FIN,8.6,1.4,3.81,81.7,19.9,268761201365.0,6.59,,100.2,88.2,268265,234885,0.054519422352313995,0.05048820376396179
72,FRA,11.3,3.4,3.27,82.5,6.8,2715518274227.0,8.43,11.16,102.5,65.6,1939711,7789799,0.03377839922904968,0.14039497077465057
73,GAB,31.61,32.7,0.68,66.2,25.9,16657960228.0,20.0,1.46,139.9,8.3,57562,390735,0.039591606706380844,0.27982959151268005
74,GMB,38.54,39.0,0.1,61.7,20.3,1763819048.0,9.06,0.13,98.0,2.7,118758,176002,0.08060723543167114,0.12993545830249786
75,GEO,13.47,8.7,7.12,73.6,57.3,17743195770.0,14.4,0.05,98.6,63.9,786727,65685,0.2094198763370514,0.022116385400295258
76,DEU,9.5,3.1,4.25,80.9,12.5,3845630030824.0,3.04,9.99,104.0,70.2,3985287,12373982,0.052756909281015396,0.17292898893356323
77,GHA,29.41,34.9,0.14,63.8,36.1,66983634224.0,4.33,0.27,104.8,15.7,906552,406587,0.04434804990887642,0.02081304043531418
78,GRC,8.1,3.6,5.48,81.3,35.5,209852761469.0,17.24,4.46,99.6,136.6,962554,588045,0.0943509191274643,0.06364607810974121
79,GRD,16.47,13.7,1.41,72.4,57.0,1228170370.0,,,106.9,104.6,71189,6697,0.4535660147666931,0.07808546721935272
80,GTM,24.56,22.1,0.35,74.1,55.8,76710385880.0,2.46,1.6,101.9,21.8,1059227,71721,0.0861399695277214,0.00638237502425909
81,GIN,36.36,64.9,0.08,61.2,54.5,13590281809.0,4.3,,91.5,11.6,410664,54632,0.05204915627837181,0.007304464001208544
82,GNB,35.13,54.0,0.13,58.0,37.2,1340389411.0,2.47,0.16,118.7,2.6,83821,14589,0.06833092868328094,0.012765220366418362
83,GUY,19.97,25.1,0.8,69.8,40.5,4280443645.0,11.85,0.98,97.8,11.6,430779,25062,0.4311191439628601,0.044089704751968384
84,HTI,24.35,49.5,0.23,63.7,36.3,8498981821.0,13.78,0.25,113.6,1.1,1670779,15517,0.17830269038677216,0.0020152772776782513
85,HND,21.6,15.1,0.31,75.1,49.1,25095395475.0,5.39,1.01,91.5,26.2,829871,31468,0.10770776867866516,0.0045771850273013115
86,HUN,9.6,3.6,3.41,75.8,29.0,160967157504.0,3.4,2.62,100.8,48.5,606616,185912,0.06776393949985504,0.02227749302983284
87,ISL,12.0,1.5,4.08,82.7,17.0,24188035739.0,2.84,,100.4,71.8,39966,57800,0.11921323835849762,0.1957450807094574
88,IND,17.86,29.9,0.86,69.4,65.1,2611000000000.0,5.36,0.3,113.0,28.1,16637478,4612489,0.016065167263150215,0.004526544362306595
89,IDN,18.07,21.1,0.43,71.5,48.3,1119190780753.0,4.69,0.48,106.4,36.3,4150714,319734,0.02007763274013996,0.0015782902482897043
90,IRN,18.78,12.4,1.58,76.5,39.7,445345282123.0,11.38,1.58,110.7,68.1,1273157,2240677,0.019744284451007843,0.03544861823320389
91,IRQ,29.08,22.5,0.71,70.5,76.5,234094042939.0,12.82,1.24,108.7,16.2,1732719,298042,0.06468793749809265,0.011896415613591671
92,ISR,20.8,3.0,4.62,82.8,24.4,395098666122.0,3.86,7.58,104.9,63.4,332178,1366982,0.04757050797343254,0.2055402398109436
93,ITA,7.3,2.6,3.98,82.9,22.8,2001244392042.0,9.89,,101.9,61.9,2900256,5700891,0.053090136498212814,0.11020761728286743
94,JAM,16.1,12.4,1.31,74.4,23.7,16458071068.0,8.0,1.33,91.0,27.1,1076066,20358,0.32164040207862854,0.008970296941697598
95,JPN,7.4,1.8,2.41,84.2,13.1,5081769542380.0,2.29,6.77,98.8,63.2,939980,2045799,0.008431576192378998,0.018506761640310287
96,JOR,21.98,13.9,2.32,74.4,25.1,43743661972.0,14.72,1.49,81.5,34.4,712836,2790582,0.09424243122339249,0.4073236882686615
97,KAZ,21.77,8.8,3.25,73.2,38.8,180161741180.0,4.59,0.41,104.4,61.7,3936080,3186982,0.2285022735595703,0.23981235921382904
98,KEN,28.75,30.6,0.16,66.3,33.4,95503088538.0,2.64,0.25,103.2,11.5,486507,872603,0.01451927050948143,0.026425564661622047
99,KIR,27.89,41.2,0.2,68.1,0.2,194647202.0,,,101.3,,4901,2853,0.060174841433763504,0.037272192537784576
100,KWT,13.94,6.7,2.58,75.4,14.4,134761198946.0,2.18,0.95,92.4,54.4,190858,3032931,0.053840696811676025,0.9042709469795227
101,KGZ,27.1,16.9,1.88,71.4,48.2,8454619608.0,6.33,0.09,107.6,41.3,739999,171966,0.14308801293373108,0.038804180920124054
102,LAO,23.55,37.6,0.37,67.6,45.4,18173839128.0,0.63,0.83,102.4,15.0,1042407,39721,0.17391937971115112,0.008022475056350231
103,LVA,10.0,3.3,3.19,74.7,41.6,34117202555.0,6.52,2.8,99.4,88.1,352389,165176,0.18159176409244537,0.10400417447090149
104,LBN,17.55,6.4,2.1,78.9,32.1,53367042272.0,6.23,2.15,95.1,26.3,817488,1370831,0.13781270384788513,0.2680341601371765
105,LSO,26.81,65.7,0.07,53.7,16.9,2460072444.0,23.41,0.41,120.9,10.2,186625,10739,0.11391673237085342,0.007397875189781189
106,LBR,33.04,53.5,0.04,63.7,19.6,3070518100.0,2.81,0.17,85.1,11.9,208348,81549,0.06462148576974869,0.0270407572388649
107,LBY,18.83,10.2,2.09,72.7,36.7,52076250948.0,18.56,1.88,109.0,60.5,167058,681263,0.03257014974951744,0.13729281723499298
108,LIE,9.9,,,83.0,,6552858739.0,,,104.7,35.6,2945,23179,,
109,LTU,10.0,3.3,6.35,75.7,32.1,54219315600.0,6.35,2.41,103.9,72.4,609077,125323,0.20498180389404297,0.05305139720439911
110,LUX,10.3,1.9,3.01,82.1,10.6,71104919108.0,5.36,13.05,102.3,19.2,61236,274956,0.10316437482833862,0.5165035128593445
111,MDG,32.66,38.2,0.18,66.7,21.7,14083906357.0,1.76,0.21,142.5,5.4,157259,31801,0.009386046789586544,0.001916035427711904
112,MWI,34.12,35.3,0.04,63.8,11.0,7666704427.0,5.65,0.12,142.5,0.8,303167,179084,0.027047324925661087,0.016421297565102577
113,MYS,16.75,6.7,1.51,76.0,36.7,364701517788.0,3.32,0.93,105.3,45.1,1566257,2953837,0.059456199407577515,0.11921793222427368
114,MDV,14.2,7.4,4.56,78.6,16.4,5729248472.0,6.14,,97.1,31.2,3118,65089,0.007123372983187437,0.14976897835731506
115,MLI,41.54,62.0,0.13,58.9,46.3,17510141171.0,7.22,0.23,75.6,4.5,1106856,414241,0.09349773079156876,0.038600608706474304
116,MLT,9.2,6.1,2.86,82.3,37.1,14786156563.0,3.47,5.07,105.0,54.3,84290,96489,0.16038496792316437,0.21866798400878906
117,MHL,29.03,27.4,0.42,65.2,10.0,221278000.0,,2.0,84.7,23.7,23846,2992,,
118,MRT,33.69,51.5,0.19,64.7,48.2,7593752450.0,9.55,0.53,99.9,5.0,86552,152611,0.029938533902168274,0.054417677223682404
119,MUS,10.2,13.6,2.53,74.4,50.7,14180444557.0,6.67,0.38,101.1,40.6,167700,28682,0.13734756410121918,0.027230866253376007
120,MEX,17.6,11.0,2.38,75.0,41.4,1258286717125.0,3.42,0.49,105.8,40.2,11350864,868861,0.1061091348528862,0.009086353704333305
121,FSM,22.82,25.6,0.18,67.8,2.5,401932279.0,,,97.2,14.1,31967,2682,0.287703275680542,0.0338875986635685
122,MDA,10.1,13.6,3.21,71.8,46.2,11955435457.0,5.47,0.31,90.6,39.8,868205,86569,0.28258681297302246,0.03927558287978172
123,MCO,5.9,2.6,6.56,,6.1,7184844193.0,,11.72,,,22242,25154,,
124,MNG,24.13,14.0,2.86,69.7,39.3,13852850259.0,6.01,0.65,104.0,65.6,85147,17329,0.036323606967926025,0.007671175058931112
